A„O;SEMANA;CANTIDAD;
2019;1;17;
2019;2;15;
2019;3;351;
2019;4;356;
2019;5;723;
2019;6;373;
2019;7;384;
2019;8;372;
2019;9;746;
2019;10;375;
2019;11;377;
2019;12;325;
2019;13;27;
2019;14;346;
2019;15;346;
2019;16;40;
2019;17;378;
2019;18;373;
2019;19;379;
2019;20;370;
2019;21;369;
2019;22;694;
2019;23;25;
2019;24;351;
2019;25;345;
2019;26;24;
2019;27;23;
2019;28;358;
2019;29;30;
2019;30;137;
2019;31;435;
2019;32;34;
2019;33;366;
2019;34;25;
2019;35;735;
2019;36;383;
2019;37;390;
2019;38;392;
2019;39;381;
2019;40;782;
2019;41;361;
2019;42;25;
2019;43;378;
2019;44;755;
2019;45;26;
2019;46;26;
2019;47;384;
2019;48;755;
2019;49;374;
2019;50;408;
2019;51;427;
2019;52;22;
2019;53;37;
